CustomerID,Age,Gender,Income,SurveyOptIn
1001,22.0,m,80797.86,N
1002,58.0,F,56647.36,N
1003,52.0,F,65453.99,N
1004,40.0,Female,53977.9,N
1005,40.0,Male,51932.66,N
1006,62.0,m,40969.32,N
1007,22.0,female,62745.42,N
1008,54.0,MALE,39672.33,N
1009,28.0,m,66980.53,N
1010,22.0,Male,74535.17,N
1011,45.0,female,61597.57,N
1012,68.0,F,"$49,847.52",N
1013,56.0,Female,63171.38,N
1014,57.0,female,49443.89,N
1015,55.0,female,71839.85,N
1016,58.0,m,22034.69,N
1017,44.0,Female,48959.07,N
1018,24.0,MALE,19165.38,N
1019,61.0,M,28088.91,N
1020,41.0,F,79549.52,N
1021,44.0,MALE,71113.33,N
1022,37.0,m,42049.36,N
1023,27.0,Male,27954.94,N
1024,66.0,Female,15000.0,N
1025,58.0,M,45217.08,N
1026,51.0,MALE,"$98,567.47",N
1027,38.0,female,62827.92,N
1028,60.0,M,44927.7,N
1029,46.0,female,63371.44,N
1030,41.0,female,26902.75,N
1031,41.0,F,49648.18,N
1032,29.0,M,56790.59,N
1033,22.0,MALE,"$53,450.19",N
1034,46.0,m,,N
1035,64.0,Female,"$61,203.61",N
1036,21.0,m,67029.87,N
1037,62.0,m,42609.3,N
1038,61.0,m,71160.68,N
1039,32.0,female,84320.87,N
1040,50.0,MALE,37537.31,N
1041,,Female,39021.48,N
1042,57.0,M,79044.12,N
1043,54.0,Male,51555.81,N
1044,36.0,m,80268.79,N
1045,21.0,F,47034.36,N
1046,68.0,M,,N
1047,41.0,m,"$57,366.74",N
1048,64.0,F,59648.12,N
1049,53.0,F,83164.92,N
1050,58.0,F,48488.13,N
1051,57.0,Female,38059.8,N
1052,,Male,46925.84,N
1053,36.0,female,,N
1054,42.0,Male,"$26,816.34",N
1055,43.0,Female,66474.48,N
1056,20.0,female,45302.12,N
1057,46.0,Female,"$75,660.63",N
1058,26.0,F,15000.0,N
1059,56.0,female,40841.82,N
1060,53.0,F,24643.57,N
1061,65.0,Female,"$40,127.87",N
1062,56.0,Male,"$59,457.99",N
1063,37.0,MALE,51773.92,N
1064,,M,50439.2,N
1065,39.0,female,52134.67,N
1066,34.0,Male,58660.99,N
1067,65.0,Male,"$36,846.35",N
1068,37.0,MALE,67723.29,N
1069,21.0,female,66927.99,N
1070,42.0,female,61930.68,N
1071,59.0,female,"$65,017.60",N
1072,27.0,Male,60335.52,N
1073,42.0,MALE,91631.32,N
1074,24.0,m,53432.3,N
1075,53.0,Male,49472.5,N
1076,42.0,Male,41436.5,N
1077,35.0,female,36419.27,N
1078,29.0,Female,32599.51,N
