customer_id,age,annual_income,loan_amount,credit_score,transaction_count,spending_ratio,join_date,default_flag,gender,education_level,employment_type,repayment_history,avg_interest_rate,inflation_rate,unemployment_rate,annual_income_was_missing,join_year,join_month,join_day,join_weekday,education_level_encoded,gender_encoded,region_East,region_North,region_South,region_West,purpose_Business,purpose_Car,purpose_Education,purpose_Home,purpose_Other,income_band,good_credit_flag,repayment_history_qbin,transaction_count_kmeans_bin,annual_income_standard,loan_amount_standard,age_minmax,annual_income_minmax,loan_amount_minmax,credit_score_minmax,repayment_history_minmax,transaction_count_minmax,spending_ratio_minmax,age_maxabs,annual_income_maxabs,loan_amount_maxabs,credit_score_maxabs,repayment_history_maxabs,transaction_count_maxabs,spending_ratio_maxabs,age_robust,annual_income_robust,loan_amount_robust,credit_score_robust,repayment_history_robust,transaction_count_robust,spending_ratio_robust,spending_ratio_log,spending_ratio_sqrt,spending_ratio_reciprocal,loan_amount_boxcox,annual_income_yeojohnson,debt_to_income_ratio,avg_monthly_transactions,spending_to_income_constructed
CUST00001,60.0,261459.87,147692.98,633.0,44,14.08,2015-04-15,0,Female,Graduate,Salaried,0,8.55,5.0,5.9,0,2015,4,15,Wednesday,2.0,0,False,False,False,True,False,False,True,False,False,Low,0,Low_Missed,1,-0.5984822187300235,0.2316753272192016,0.7636363636363636,0.031732252534471,0.19881753299360427,0.45064681906787163,0.0,0.4186046511627908,0.1013953488372093,0.821917808219178,0.06450471433130296,0.2279476969525196,0.7447058823529412,0.0,0.6376811594202898,0.10830769230769231,1.5417299898682875,-0.5378898414930299,0.606102854761243,-0.12264150943396226,-0.5,-0.1111111111111111,-0.4331138287864535,2.71336936257981,3.752332607858744,0.06631299734748011,0.6332482717271137,-1.068930894902007,0.5649,7.33,0.1408
CUST00002,44.0,393587.92,70387.07,672.0,48,12.23,2017-09-24,0,Male,Graduate,Self-Employed,1,8.55,5.0,5.9,0,2017,9,24,Sunday,2.0,1,False,False,False,True,False,False,False,False,True,Mid-Low,0,Low_Missed,2,-0.34198155006763786,-0.5604750459694086,0.47272727272727266,0.06547149315483156,0.07500267439268782,0.5493784967469177,0.16666666666666666,0.5116279069767442,0.08705426356589148,0.6027397260273972,0.0971020001801872,0.10863461825833418,0.7905882352941176,0.16666666666666666,0.6956521739130435,0.09407692307692309,0.39887284701114467,-0.13024590350438436,-0.35510690371876436,0.24528301886792453,0.0,0.3333333333333333,-0.502728127939793,2.5824869781268642,3.4971416900091423,0.07558578987150416,-0.5602707351738027,-0.21633959332230068,0.1788,8.0,0.1223
CUST00003,19.0,767271.71,77355.93,598.0,54,25.96,2023-12-13,1,Female,Graduate,Salaried,1,8.75,5.2,6.1,0,2023,12,13,Wednesday,2.0,0,False,True,False,False,False,False,False,False,True,High,0,Low_Missed,2,0.38345216369181373,-0.48906543382333634,0.018181818181818188,0.16089261915145592,0.08616415500276771,0.36204146730462505,0.16666666666666666,0.6511627906976745,0.19348837209302328,0.2602739726027397,0.1892934562693706,0.11939027900391959,0.7035294117647058,0.16666666666666666,0.782608695652174,0.1996923076923077,-1.3868414387031411,1.0226503340327777,-0.2684571736078198,-0.4528301886792453,0.0,1.0,0.01392285983066796,3.2943542860441064,5.095095681142799,0.037091988130563795,-0.40105230519223145,0.9297343451183583,0.1008,9.0,0.2596
CUST00004,18.0,340998.75,74790.99,801.0,32,30.96,2024-10-26,0,Female,Graduate,Salaried,1,8.75,5.2,6.1,0,2024,10,26,Saturday,2.0,0,False,True,False,False,False,True,False,False,False,Mid-Low,1,Low_Missed,0,-0.4440730989052985,-0.5153482649575457,0.0,0.05204271205456522,0.08205609025817272,0.8759525075314549,0.16666666666666666,0.13953488372093026,0.23224806201550385,0.2465753424657534,0.08412773614582382,0.11543157923483514,0.9423529411764706,0.16666666666666666,0.463768115942029,0.23815384615384616,-1.4582700101317125,-0.2924949971249618,-0.3003492418586909,1.4622641509433962,0.0,-1.4444444444444444,0.2020696142991534,3.464485120898074,5.5641710972974225,0.03128911138923655,-0.45767205147572393,-0.5009945524701964,0.2193,5.33,0.3096
CUST00005,38.415780141843975,286282.4,207168.38,663.0,42,21.69,2020-04-02,1,Male,Graduate,Salaried,2,8.75,5.2,6.1,0,2020,4,2,Thursday,2.0,1,False,True,False,False,True,False,False,False,False,Low,0,High_Missed,1,-0.5502941500883374,0.8411172224836369,0.37119600257898133,0.0380707500183597,0.29407465164382063,0.5265942634363687,0.3333333333333333,0.37209302325581395,0.16038759689922483,0.5262435635869037,0.07062867594204728,0.3197413655163869,0.78,0.3333333333333333,0.6086956521739131,0.16684615384615387,0.0,-0.4613069063778798,1.3456108027241067,0.16037735849056603,0.5,-0.3333333333333333,-0.1467544684854186,3.1219242987917504,4.657252408878008,0.04407227853680035,1.1372053569009335,-0.868797541048614,0.7237,7.0,0.2169
CUST00006,37.0,478175.03,96321.83,669.0,50,27.09,2022-12-03,0,Other,Graduate,Salaried,1,9.1,5.6,7.2,0,2022,12,3,Saturday,2.0,2,True,False,False,False,True,False,False,False,False,Mid-High,0,Low_Missed,2,-0.17777228280592633,-0.29472266283910153,0.34545454545454546,0.08707103131248173,0.1165403607383851,0.5417837523100679,0.16666666666666666,0.558139534883721,0.20224806201550388,0.5068493150684932,0.11797046984882317,0.14866203738831804,0.7870588235294118,0.16666666666666666,0.7246376811594203,0.2083846153846154,-0.10112715298885533,0.13072383474179997,-0.032638098994300854,0.2169811320754717,0.0,0.5555555555555556,0.056444026340545635,3.335413641116152,5.204805471869242,0.0355998576005696,-0.03949907782964943,0.14704661334554767,0.2014,8.33,0.2709
CUST00007,38.415780141843975,567792.49,103513.77,666.0,48,25.91,2019-04-05,0,Female,Graduate,Salaried,0,8.75,5.2,6.1,0,2019,4,5,Friday,2.0,0,False,True,False,False,True,False,False,False,False,Mid-High,0,Low_Missed,2,-0.0037975786168870495,-0.2210271594170463,0.37119600257898133,0.10995508240326476,0.12805913122005042,0.5341890078732183,0.0,0.5116279069767442,0.19310077519379842,0.5262435635869037,0.1400799762002069,0.15976199731614063,0.7835294117647059,0.0,0.6956521739130435,0.1993076923076923,0.0,0.40721330315475174,0.056785373420715095,0.18867924528301888,-0.5,0.3333333333333333,0.012041392285983079,3.2924979647388146,5.090186637049765,0.03716090672612412,0.07676099331703148,0.44703811106160496,0.1823,8.0,0.2591
CUST00008,28.0,1005931.05,75782.17,730.0,43,7.74,2020-06-24,0,Male,Graduate,Salaried,4,8.55,5.0,5.9,0,2020,6,24,Wednesday,2.0,1,False,False,False,True,True,False,False,False,False,High,1,High_Missed,1,0.8467624168327907,-0.5051916856365457,0.18181818181818177,0.22183490126760347,0.08364358611131067,0.6962102225260118,0.6666666666666666,0.39534883720930236,0.052248062015503874,0.3835616438356164,0.24817305622173544,0.11696135538442193,0.8588235294117647,0.6666666666666666,0.6231884057971014,0.05953846153846154,-0.7439842958459982,1.7589666059778426,-0.28802506265414873,0.7924528301886793,1.5,-0.2222222222222222,-0.6716839134524931,2.167910189667444,2.7820855486487113,0.11441647597254004,-0.4355325792504066,1.3210472741582624,0.0753,7.17,0.0774
CUST00009,42.0,528012.5,130316.33,696.0,49,23.62,2024-07-12,1,Male,Graduate,Salaried,1,9.1,5.6,7.2,0,2024,7,12,Friday,2.0,1,True,False,False,False,False,True,False,False,False,Mid-High,0,Low_Missed,2,-0.08102261928299098,0.05361753341963479,0.4363636363636363,0.099797158673326,0.17098670527671156,0.6101364522417154,0.16666666666666666,0.5348837209302326,0.17534883720930233,0.5753424657534246,0.13026586250447192,0.20112876928073722,0.8188235294117647,0.16666666666666666,0.7101449275362319,0.1816923076923077,0.2560157041540018,0.2844833319128471,0.39004426946431514,0.4716981132075472,0.0,0.4444444444444444,-0.07412982126058322,3.2035591207563074,4.860041152089146,0.04061738424045491,0.4405176037377744,0.3224684090196364,0.2468,8.17,0.2362
CUST00010,47.0,610477.27,221813.19,685.0,53,13.07,2018-03-02,0,Male,Secondary,Salaried,0,8.55,5.0,5.9,0,2018,3,2,Friday,1.0,1,False,False,False,True,False,True,False,False,False,Mid-High,0,Low_Missed,2,0.07906654154311557,0.9911819679445762,0.5272727272727272,0.12085475180160338,0.3175301038775152,0.5822890559732665,0.0,0.627906976744186,0.09356589147286822,0.6438356164383562,0.15061073007916553,0.34234400182183095,0.8058823529411765,0.0,0.7681159420289855,0.10053846153846153,0.613158561296859,0.5389051869854674,1.5277021109188564,0.36792452830188677,-0.5,0.8888888888888888,-0.47111947318908753,2.644044871126298,3.6152454965050436,0.0710732054015636,1.23597754011733,0.5681150233243794,0.3633,8.83,0.1307
